customer_id,name,age,gender,address,phone,email
1,Joseph Okorie,35,Male,"Port Michaelmouth, Nigeria",8096705040,joseph okorie@gmail.com
2,Nancy Njong,46,Male,"South Megan, Nigeria",8051818972,nancy njong@gmail.com
3,Travis Chukwudi,45,Male,"Kevinside, Nigeria",8015252830,travis chukwudi@gmail.com
4,James Owens,65,Male,"Sheribury, Nigeria",8086454946,james owens@gmail.com
5,Basseyie Oluwatosin,35,Female,"Benjaminstad, Nigeria",8068400305,basseyie oluwatosin@gmail.com
6,Akpanufo Ubong,54,Male,"Lake Dannyfurt, Nigeria",8078312897,akpanufo ubong@gmail.com
7,Tiffany Titilayo,57,Female,"Lake Laurenport, Nigeria",8071533271,tiffany titilayo@gmail.com
8,Jennifer Nwankwo,52,Male,"North Karenport, Nigeria",8058300076,jennifer nwankwo@gmail.com
9,Akpanufo Gbogobiri,49,Male,"Riceview, Nigeria",8045024696,akpanufo gbogobiri@gmail.com
10,John Sunday,66,Female,"Rogerport, Nigeria",8089911676,john sunday@gmail.com
11,Ugo Abdulazeez,31,Male,"North Susan, Nigeria",8057246328,ugo abdulazeez@gmail.com
12,Vincent Madu,58,Female,"Mohammaduland, Nigeria",8019922524,vincent madu@gmail.com
13,Miss Beth Obi,39,Male,"South Brittany, Nigeria",8095659175,miss beth obi@gmail.com
14,Ashley Umar,56,Female,"South Michael, Nigeria",8096669701,ashley umar@gmail.com
15,Julie Okon,48,Male,"Lake Heatherton, Nigeria",8082028337,julie okon@gmail.com
16,David Omolola,51,Female,"Alicestad, Nigeria",8099536488,david omolola@gmail.com
17,Maureen Omotola,60,Female,"New Shelly, Nigeria",8030723105,maureen omotola@gmail.com
18,William Oluwaseyin,67,Male,"Tonymouth, Nigeria",8050220093,william oluwaseyin@gmail.com
19,Samantha Orokpo,63,Male,"Meredithville, Nigeria",8098427475,samantha orokpo@gmail.com
20,Evan Tyler,18,Male,"East Sarahmouth, Nigeria",8068703046,evan tyler@gmail.com
21,Christopher Ojocheneme,63,Female,"Akindeleshire, Nigeria",8019115034,christopher ojocheneme@gmail.com
22,Katherine Dixon,68,Female,"Vargastown, Nigeria",8039494364,katherine dixon@gmail.com
23,Heather Oluwadayo,70,Male,"Harrisfort, Nigeria",8060953900,heather oluwadayo@gmail.com
24,Obioha Adeleke,68,Male,"Randymouth, Nigeria",8092160177,obioha adeleke@gmail.com
25,Elizabeth Oluwadayo,40,Female,"Michaelburgh, Nigeria",8059987306,elizabeth oluwadayo@gmail.com
26,Hailey Uba,31,Male,"New David, Nigeria",8037299445,hailey uba@gmail.com
27,Gabrielle Onukwugha,66,Female,"Jimborough, Nigeria",8049909128,gabrielle onukwugha@gmail.com
28,Jodi Uwandu,24,Female,"Gilmoreton, Nigeria",8031948225,jodi uwandu@gmail.com
29,Rodney Ihim,67,Female,"RAkindeledesside, Nigeria",8066638314,rodney ihim@gmail.com
30,AntAkindeleny Umaru,29,Male,"Rodneychester, Nigeria",8028617670,antakindeleny umaru@gmail.com
31,Kimberly Ahmed,26,Male,"Lake Jennifer, Nigeria",8020595663,kimberly ahmed@gmail.com
32,Jamie Bukola,28,Female,"West Michael, Nigeria",8077119223,jamie bukola@gmail.com
33,Sue Maynard,45,Female,"South Julia, Nigeria",8091707794,sue maynard@gmail.com
34,Tammy Etta,59,Female,"West Mark, Nigeria",8041940624,tammy etta@gmail.com
35,Derrick Shekarau,18,Female,"South Brettberg, Nigeria",8021154085,derrick shekarau@gmail.com
36,Shawn Iniubong,25,Female,"Deanberg, Nigeria",8057768550,shawn iniubong@gmail.com
37,Mark Nwosu,28,Female,"West Tylermouth, Nigeria",8015077841,mark nwosu@gmail.com
38,Allison Iniubong,23,Female,"Port Andrewberg, Nigeria",8054915833,allison iniubong@gmail.com
39,Chelsea Chidera,35,Female,"Lewisbury, Nigeria",8048140285,chelsea chidera@gmail.com
40,Sherri Nwosu,40,Male,"Walkerborough, Nigeria",8032059823,sherri nwosu@gmail.com
41,Dr. Tabitha Nwosu,18,Female,"Penningtonmouth, Nigeria",8025889124,dr. tabitha nwosu@gmail.com
42,Jamie Chidera,63,Female,"North Jayville, Nigeria",8068394286,jamie chidera@gmail.com
43,Heather Nwogu,27,Male,"New Laurafurt, Nigeria",8013795096,heather nwogu@gmail.com
44,Mrs. Jackie Otedola,40,Male,"Petersenland, Nigeria",8075383349,mrs. jackie otedola@gmail.com
45,Stephanie Chidi,40,Male,"East Gregory, Nigeria",8065932906,stephanie chidi@gmail.com
46,Jared Flynn,22,Female,"Gravesburgh, Nigeria",8076817634,jared flynn@gmail.com
47,Adam Shekarau,49,Male,"West Sarahfort, Nigeria",8029643828,adam shekarau@gmail.com
48,Kevin Chidi,68,Male,"Lisaport, Nigeria",8073265464,kevin chidi@gmail.com
49,Gregory Ikeh,43,Male,"South Lauren, Nigeria",8049455900,gregory ikeh@gmail.com
50,Amy Mbato,36,Female,"TAkindelempsonfurt, Nigeria",8054917720,amy mbato@gmail.com
51,Akpoiroro Mbato,28,Male,"West Kari, Nigeria",8064885312,akpoiroro mbato@gmail.com
52,Eric Oluwadayo,43,Male,"Port Andrea, Nigeria",8058226335,eric oluwadayo@gmail.com
53,Collin Akpanufo,49,Male,"Marystad, Nigeria",8029126075,collin akpanufo@gmail.com
54,Carla Mbanefo,39,Female,"Christinachester, Nigeria",8095922164,carla mbanefo@gmail.com
55,Shawn Hunt,43,Female,"Meganhaven, Nigeria",8071342119,shawn hunt@gmail.com
56,Tyler Galvan,38,Female,"South Lindseymouth, Nigeria",8056353875,tyler galvan@gmail.com
57,Sharon Kennedy,29,Female,"Port Patrick, Nigeria",8098148702,sharon kennedy@gmail.com
58,Timilayey Shekarau,47,Male,"Jasmineville, Nigeria",8033898766,timilayey shekarau@gmail.com
